user_id,full_name,position,department,Управление,Отдел,location,Роль,status,access_level,Initial password,,,,,
user1,фио1,Генеральный директор,Центральный офис,Центральный аппарат,Исполнительная дирекция,Москва,Администратор домена,активный ,Admin,IAV8rGUnS1yJ^,,,,,
user2,фио2,Заместитель генерального директора,Центральный офис,Центральный аппарат,Исполнительная дирекция,Москва,Руководитель направлений,активный ,High,5iV)CdYoRpJaLW&W6,,,,,
user3,фио3,Заместитель генерального директора по финансам,Центральный офис,Центральный аппарат,Финансовый блок,Москва,Руководитель блока,активный ,High,Tloke_73fo+[%}$fF%9,,,,,
user4,фио4,Заместитель генерального директора по торговле,Центральный офис,Центральный аппарат,Торговый блок,Москва,Руководитель блока,активный ,High,2H!cd{WPv-K5x,,,,,
user5,фио5,Заместитель генерального директора по производству,Центральный офис,Центральный аппарат,Производственный блок,Москва,Руководитель блока,активный ,High,A>p!j@!ZK}<B/8L^*6P&,,,,,
user6,фио6,Финансовый директор,Центральный офис,Финансы и казначейство,Казначейство,Москва,Финансовый контролёр,активный ,High,$YUH7LE%X&#n4<bm;,,,,,
user7,фио7,Главный бухгалтер,Центральный офис,Финансы и казначейство,Бухгалтерия главный,Москва,Главный бухгалтер 1С,активный ,Medium,"E.bN@D=6;!NrqeUdSQ3",,,,,
user8,фио8,Коммерческий директор,Центральный офис,Центральный аппарат,Коммерческий блок,Москва,Руководитель направлений,активный ,High,m&X!^4/XBh}I7nKeX),,,,,
user9,фио9,Директор по логистике,Москва,Логистический блок,Логистика и порты,,Руководитель блока,активный ,High,(?p18Ja0hT/},,,,,
user10,фио10,Директор по производству,Москва,Производственный блок,Переработка и хранение,,Руководитель блока,активный ,High,"r:,CE3)o7PAgn",,,,,
user11,фио11,IT-директор,Москва,IT и цифровизация,Инфраструктура и цифровизация,,Руководитель блока,активный ,High,$1CkB3]n|3019wu;#,,,,,
user12,фио12,HR-директор,Москва,HR и административная,Кадры и персонал,,Руководитель блока,активный ,High,DQtu7Fvdgt#yD>jh0,,,,,
user13,фио13,Юридический директор,Москва,Юридическая и комплаенс,Юридическая служба,,Руководитель блока,активный ,High,88EvMG5ja<a<f[vF,,,,,
user14,фио14,Помощник генерального директора,Центральный офис,Исполнительная дирекция,Приёмная ГД,Москва,Администратор,активный ,Admin,UF-+_W<1:4n:6P,,,,,
user15,фио15,Офис-менеджер,Центральный офис,Исполнительная дирекция,Приёмная,Москва,Администратор,активный ,Admin,[r746%%oO3Lu)IyTrV,,,,,
user16,фио16,Водитель руководителя,Центральный офис,Центральный аппарат,Исполнительная дирекция,Москва,Водитель,активный ,Medium,R_YE[]vpd|5g[MGp5S,,,,,
user17,фио17,Старший трейдер зерновых,Торговый блок,Зерновая торговля,Торговля пшеницей,Москва,Старший трейдер,активный ,High,4BdSIEz4gO$zj}6ppQOQ,,,,,
user18,фио18,Трейдер пшеницы,Торговый блок,Зерновая торговля,Торговля пшеницей,Москва,Трейдер,активный ,High,0zPe]Gy.cn5iw2D?,,,,,
